model_id,model_name_pub,model_family,provider,total_params_B,active_params_B,sparsity_ratio,architecture,test_base_accuracy_pct,test_opt_accuracy_pct,test_absolute_gain_pp,test_relative_error_reduction_pct,test_flip_rate_pct,test_flip_count,test_base_error_count,test_base_correct_count,test_total_questions_735,test_max_tokens,mbt_base_accuracy_pct,mbt_opt_accuracy_pct,mbt_absolute_gain_pp,mbt_relative_error_reduction_pct,mbt_flip_rate_pct,mbt_flip_count,mbt_base_error_count,mbt_total_questions_500,mbt_empty_responses,avg_gain_pp
Baichuan-M3,Baichuan-M3[24],Baichuan,Baichuan,235,235,1.0,Dense,72.0,81.1,9.1,32.5,32.5,67,206,530,735,12000,46.0,51.0,5.0,9.3,22.3,25,112,500,0,7.0
V3,MedSeek V3[28],MedSeek,LM Studio,35,3,0.0857,MoE,70.5,75.9,5.4,18.3,19.5,40,205,490,735,12000,45.0,50.8,5.8,10.5,12.1,29,240,500,0,5.6
deepseek-v4-flash,deepseek-v4-flash[26],DeepSeek,NVIDIA,284,13,0.0458,MoE,70.6,75.0,4.4,15.0,34.0,32,94,226,735,12000,58.6,65.4,6.8,16.4,34.0,34,100,500,107,5.6
diffusiongemma-26b-a4b-it,diffusiongemma-26b[25],Gemma,NVIDIA,25.2,3.8,0.1508,MoE,53.7,60.0,6.3,13.6,50.5,46,91,106,735,12000,38.4,47.2,8.8,14.3,28.8,44,153,500,155,7.6
glm-5.2,GLM-5.2[4],GLM,DashScope,744,40,0.0538,MoE,53.9,65.3,11.4,24.7,67.2,84,125,146,735,12000,57.8,64.8,7.0,16.6,40.7,35,86,500,,9.2
gpt-5,GPT-5[31],GPT,PKU,,,,Dense,75.2,78.3,3.1,12.5,12.6,23,182,552,735,12000,72.2,75.8,3.6,12.9,12.9,18,139,500,,3.4
gpt-oss-120b,gpt-oss-120b[3],GPT,NVIDIA,117,5.1,0.0436,MoE,62.4,74.4,12.0,31.9,31.9,88,276,458,735,12000,53.8,63.2,9.4,20.3,20.3,47,231,500,0,10.7
hulu-med-flash-27b,hulu-med flash 27b[23],Hulu-Med,PKU,27,27,1.0,Dense,73.6,75.8,2.2,8.3,12.3,16,130,362,735,12000,32.4,42.4,10.0,14.8,14.8,50,338,500,,6.1
medpsy-4b,medpsy-4b[32],MedPsy,LM Studio,4,4,1.0,Dense,69.8,77.3,7.5,24.8,25.2,55,218,504,735,12000,54.2,60.2,6.0,13.1,13.3,30,226,500,,6.8
minimax-m2.5,minimax-m2.5[30],MiniMax,DashScope,,,,MoE,70.5,77.8,7.3,24.7,26.3,54,205,490,735,12000,60.9,65.7,4.8,12.3,13.3,24,181,500,,6.0
mistral-small-24b,mistral-small-24b[5],Mistral,NVIDIA,24,24,1.0,Dense,69.4,79.1,9.7,31.7,31.6,71,225,510,735,12000,44.0,52.0,8.0,14.3,14.3,40,280,500,0,8.8
qwen3.5-122b-a10b,qwen3.5-122b-a10b[28],Qwen,DashScope,122,10,0.082,MoE,67.3,77.4,10.1,30.9,35.1,74,211,434,735,12000,54.6,58.0,3.4,7.5,4.8,17,352,500,39,6.8
qwen3.6-flash,qwen3.6-flash[29],Qwen,DashScope,10,10,1.0,Dense,72.0,79.6,7.6,27.1,27.9,56,201,517,735,12000,66.1,70.9,4.8,14.2,14.5,24,166,500,,6.2
step-3.7-flash,step-3.7-flash[27],Step,NVIDIA,198,11,0.0556,MoE,73.6,77.3,3.7,14.0,13.9,27,194,541,735,12000,57.2,64.4,7.2,16.8,16.8,36,214,500,0,5.5
