model,icd_test_base_pct,icd_test_opt_pct,icd_test_gain_pp,icd_test_errors,icd_test_flipped,icd_test_flip_rate_pct,mbt_base_pct,mbt_opt_pct,mbt_gain_pp,mbt_errors,mbt_flipped,mbt_flip_rate_pct
GLM-5.2,53.9,81.5,27.6,339,203,59.9,57.2,72.4,15.2,214,76,35.5
diffusiongemma-26b,54.4,80.1,25.7,335,189,56.4,37.2,63.2,26.0,314,130,41.4
qwen3.5-122b,67.2,80.7,13.5,241,99,41.1,54.6,71.0,16.4,227,82,36.1
deepseek-v4-flash,70.9,81.9,11.0,214,81,37.9,58.6,71.8,13.2,207,66,31.9
Baichuan-M3,72.7,83.4,10.7,201,79,39.3,64.6,71.2,6.6,177,33,18.6
mistral-small-24b,70.6,80.8,10.2,216,75,34.7,44.0,55.4,11.4,280,57,20.4
minimax-m2.5,70.7,78.3,7.6,215,56,26.0,59.8,64.4,4.6,201,23,11.4
step-3.7-flash,73.9,81.4,7.5,192,55,28.6,58.0,65.8,7.8,210,39,18.6
MedSeek-V3,71.8,79.3,7.5,207,55,26.6,52.2,57.8,5.6,239,28,11.7
medpsy-4b,69.8,77.1,7.3,222,54,24.3,54.2,60.6,6.4,229,32,14.0
qwen3.6-flash,72.4,79.5,7.1,203,52,25.6,65.8,70.6,4.8,171,24,14.0
hulu-med-flash-27b,74.3,81.0,6.7,189,49,25.9,35.6,69.6,34.0,322,170,52.8
gpt-oss-120b,71.4,77.4,6.0,210,44,21.0,59.6,64.6,5.0,202,25,12.4
GPT-5,75.2,79.4,4.2,182,31,17.0,72.2,76.8,4.6,139,23,16.5
