model,total_errors,E1_pct,E2_pct,E3_pct,E4_pct,E5_pct,E6_pct,E7_pct
gpt-oss-120b,828,33.1,6.0,10.5,17.9,14.6,7.9,10.0
mistral-small-24b,828,33.2,6.0,10.6,19.3,13.8,7.4,9.7
diffusiongemma-26b,1338,34.9,5.2,13.8,17.0,11.7,7.8,9.6
deepseek-v4-flash,820,33.3,4.9,12.0,20.1,13.4,7.0,9.4
step-3.7-flash,744,32.7,6.7,12.0,19.1,13.3,6.5,9.8
GLM-5.2,1329,36.8,4.6,12.2,17.2,12.1,7.8,9.3
qwen3.5-122b,822,33.8,4.3,13.3,17.6,14.1,8.0,8.9
qwen3.6-flash,818,34.2,4.3,11.4,19.2,14.8,6.5,9.7
minimax-m2.5,860,35.0,5.3,12.1,18.4,13.1,8.4,7.7
Baichuan-M3,839,35.3,5.1,12.3,16.8,12.6,7.3,10.6
medpsy-4b,864,36.7,3.8,10.9,16.8,12.7,8.9,10.2
GPT-5,745,28.9,5.1,12.2,18.8,14.0,9.1,11.9
MedSeek-V3,865,33.8,5.0,10.9,18.6,12.4,8.6,10.9
hulu-med-flash-27b,752,31.1,4.8,13.6,19.9,14.1,7.6,8.9
